067,ALOE EVER-SHIELD DEODORANT,30,0.030
069,R3 FACTOR SKIN CREME,8,0.121
070,GENTLEMAN&apos;S PRIDE AFTERSHAVE,18,0.061
186,ALOE EYE MAKEUP REMOVER,18,0.046
187,ALPHA-E FACTOR,8,0.125
199,FOREVER ALOE SUNSCREEN LOTION,18,0.061
205,FOREVER ALOE MSM GEL,12,0.087
208,25TH ED. PERFUME SPRAY (WOMEN),6,0.166
209,25TH ED COLOGNE SPRAY (MEN),6,0.166
233,ALLURING EYES,12,0.091
234,FOREVER MARINE MASK,18,0.083
236,FOREVER EPIBLANC,12,0.074
238,FOREVER ALOE SCRUB,18,0.058
260,ALOE JOJOBA SHAMPOO,15,0.068
261,ALOE JOJOBA RINSE,15,0.068
284,AVOCADO SOAP,60,0.026
285,AROMA SPA COLLECTION,4,0.283
307,MPD 2X,9,0.104
318,HAND SANITIZER,20,0.018
132,EYESHADOW (FRENCH VANILLA),&#xA0;,&#xA0;
133,EYESHADOW (GINGER),&#xA0;,&#xA0;
134,EYESHADOW (MINK),&#xA0;,&#xA0;
136,EYESHADOW (BLUE BAYOU),&#xA0;,&#xA0;
137,EYESHADOW (BARELY THERE),&#xA0;,&#xA0;
138,EYESHADOW (COOL BREEZE),&#xA0;,&#xA0;
139,EYESHADOW (MAPLE SYRUP),&#xA0;,&#xA0;
140,EYESHADOW (FUDGE BROWNIE),<!--[endif]-->0.066,null
141,EYESHADOW (CACTUS GREEN),&#xA0;,&#xA0;
143,EYESHADOW (BIRCH),&#xA0;,&#xA0;
144,EYESHADOW (WILDBERRY),&#xA0;,&#xA0;
148,EYESHADOW (CRYSTAL WATERS),&#xA0;,&#xA0;
149,EYESHADOW (MOONLIGHT),&#xA0;,&#xA0;
150,EYESHADOW (POT OF GOLD),&#xA0;,&#xA0;
151,EYESHADOW (GLACIER ICE),&#xA0;,&#xA0;
153,EYESHADOW (SUNFIRE),&#xA0;,&#xA0;
155,EYESHADOW (CHARCOAL),&#xA0;,&#xA0;
156,BLUSHES (NATURE),&#xA0;,&#xA0;
159,BLUSHES (ROSEWOOD),<!--[endif]-->15,<!--[endif]-->0.095
160,BLUSHES (FLARE),&#xA0;,&#xA0;
162,BLUSHES (BERRY ROSE),&#xA0;,&#xA0;
163,BLUSHES (MAUVE),&#xA0;,&#xA0;
173,LIP/EYE PENCIL (MAHOGANY),<!--[endif]-->AloecreamyVera formulainfused,&#xA0;
174,LIP/EYE PENCIL (MIDNIGHT BLK),null,null
175,LIP/EYE PENCIL (COCOA),&#xA0;,&#xA0;
179,LIP/EYE PENCIL (GRAPEVINE),&#xA0;,&#xA0;
180,LIP/EYE PENCIL (WHITE CLARI),&#xA0;,&#xA0;
183,FOUNDATION (VANILLA BIEGE),&#xA0;,10
190,LIP GLOSS (CRYSTAL CLEAR),&#xA0;,&#xA0;
191,LIP GLOSS (VANILLA PEARL),&#xA0;,null
192,LIP GLOSS (SUN GLOW),&#xA0;,&#xA0;
193,LIP GLOSS (BERRY MAUVE),&#xA0;,&#xA0;
203,SPRINGTIME EYESHADOW TRIO,&#xA0;,15
277,ALOE PURIFYING CLEANSER,&#xA0;,12
278,ALOE DEEP CLEANSING EXFOLIATOR,&#xA0;,12
279,ALOE REFRESHING TONER,&#xA0;,12
280,ALOE BALANCING CREME,&#xA0;,12
281,ALOE NOURISHING SERUM,&#xA0;,12
282,SONYA SKIN CARE COLLECTION,&#xA0;,4
311,SONYA DEEP MOISTURIZING CREAM,&#xA0;,12
349,SONYA HYDRATE SHAMPOO,&#xA0;,15
350,SONYA HYDRATE CONDITIONER,&#xA0;,15
351,SONYA VOLUME SHAMPOO,&#xA0;,15
352,SONYA VOLUME CONDITIONER,&#xA0;,15
367,LUCIOUS LIP COLOR-PASSION,<!--[endif]-->AloewithVera,<!--[endif]-->144
362,LUCIOUS LIP COLOR- ICE,&#xA0;,&#xA0;
363,LUCIOUS LIP COLOR-LUSH,&#xA0;,&#xA0;
364,LUCIOUS LIP COLOR-CASHMERE,&#xA0;,&#xA0;
365,LUCIOUS LIP COLOR-ALLURE,&#xA0;,&#xA0;
366,LUCIOUS LIP COLOR-PARFAIT,&#xA0;,&#xA0;
368,BAKED PALLETTE-EARTH,&#xA0;,&#xA0;
369,BAKED PALLETTTE-SKY,&#xA0;,45
370,BAKED PALLETTE-HEAVEN,&#xA0;,&#xA0;
371,BB CREME NUDE,&#xA0;,&#xA0;
372,BB CREME SANDY,&#xA0;,null
373,BB CREME COCOA,&#xA0;,&#xA0;
377,FOUNDATION- PORCELAIN,&#xA0;,&#xA0;
378,FOUNDATION- ROSE BEIGE,&#xA0;,&#xA0;
379,FOUNDATION-SUNSET BEIGE,&#xA0;,&#xA0;
380,FOUNDATION GOLDEN SUN,<!--[endif]-->25,<!--[endif]-->0.124
381,FOUNDATION- MOCHA,&#xA0;,&#xA0;
382,FOUNDATION-RAISIN,&#xA0;,&#xA0;
383,FOUNDATION NATURAL BEIGE,&#xA0;,&#xA0;
384,FOUNDATION- VANILLA BISQUE,&#xA0;,&#xA0;
385,FOUNDATION-SANDY,&#xA0;,&#xA0;
386,FINISHING POWDER LIGHT MEDIUM,&#xA0;,25
387,FINISHING POWDER- DARK,&#xA0;,25
388,BRILLIANT BLUSH-AANYA,<!--[endif]-->formulainspiredera,&#xA0;
389,BRILLIANT BLUSH-LAYLA,<!--[endif]-->25,<!--[endif]-->0.085
390,BRILLIANT BLUSH-BELLA,&#xA0;,&#xA0;
391,BRILLIANT BLUSH-OLIVIA,&#xA0;,&#xA0;
392,BRILLIANT BLUSH-MIA,&#xA0;,&#xA0;
